#RowID_	Lon_Calc	Lat_Calc	Z
575	-114.4795622	39.57726204	1737.602
576	-114.4117536	39.61210323	1738.634
577	-114.3648386	39.56814699	1737.26
578	-114.4845401	39.54457081	1737.401
579	-114.4121673	39.61252735	1738.678
580	-114.4497062	39.50266299	1737.927
581	-114.4367746	39.49467983	1738.444
582	-114.5032983	39.53479625	1735.104
583	-114.3976681	39.49761914	1738.356
584	-114.4603179	39.50674516	1735.104
585	-114.4283662	39.64380807	1735.104
586	-114.3910701	39.5014351	1738.179
587	-114.4212717	39.49252019	1738.57
588	-114.416069	39.61571587	1735.104
589	-114.3953251	39.57785061	1735.104
590	-114.3790133	39.50925064	1737.988
591	-114.4736954	39.58785385	1737.853
592	-114.4018391	39.61237081	1738.843
593	-114.4691292	39.51299826	1737.87
594	-114.3685483	39.52473266	1737.516
595	-114.4747014	39.525517	1737.387
596	-114.3634152	39.53304744	1737.473
597	-114.4020365	39.49754084	1738.251
598	-114.4160925	39.49054723	1738.824
599	-114.4434036	39.49140934	1738.956
600	-114.48498	39.56142059	1737.455
601	-114.4181461	39.49105105	1738.752
602	-114.4165933	39.53331444	1735.105
603	-114.3984643	39.61207395	1738.895
604	-114.4319917	39.49186765	1738.699
605	-114.4540601	39.50227145	1738.115
606	-114.3487312	39.54905874	1735.105
607	-114.4860573	39.54139395	1737.57
608	-114.4833389	39.55423904	1737.261
609	-114.4142317	39.49379348	1738.461
610	-114.4750384	39.58862558	1737.989
611	-114.3911826	39.60401683	1738.256
612	-114.3926868	39.60736876	1738.551
613	-114.4578823	39.50365168	1735.104
614	-114.4118038	39.61370111	1738.821
615	-114.3640082	39.58622732	1735.104
616	-114.3630106	39.5760215	1737.684
617	-114.431194	39.61314164	1735.104
618	-114.4639627	39.59870278	1738.191
619	-114.4809888	39.57355918	1737.531
620	-114.4354405	39.49183088	1738.749
621	-114.4552465	39.60486661	1738.407
622	-114.3615223	39.5367411	1737.479
623	-114.3942927	39.49293814	1738.977
624	-114.3694372	39.51725078	1737.916
625	-114.3756314	39.59030664	1735.104
626	-114.386562	39.50073362	1738.424
627	-114.417948	39.61326302	1738.716
628	-114.4481114	39.57673054	1735.105
629	-114.3597826	39.53832569	1737.558
630	-114.4491629	39.49090994	1739.175
631	-114.4834296	39.52920153	1737.782
632	-114.3804114	39.50606196	1738.195
633	-114.4879593	39.55210813	1737.596
634	-114.4834907	39.53439851	1737.58
635	-114.3654581	39.5276675	1737.565
636	-114.4552326	39.49746635	1738.647
637	-114.3577845	39.5453645	1737.562
638	-114.4240204	39.48994425	1738.875
639	-114.4650242	39.59929366	1738.297
640	-114.451283	39.49346625	1738.946
641	-114.4792243	39.57111686	1737.319
642	-114.4804363	39.56737481	1737.277
643	-114.4637158	39.50756756	1738.036
644	-114.4031531	39.61244469	1738.821
645	-114.4052888	39.48991768	1739.046
646	-114.4410627	39.61565574	1739.196
647	-114.3625862	39.57317704	1737.591
648	-114.3910879	39.49431585	1738.929
649	-114.4034127	39.48853596	1739.254
650	-114.4736679	39.5920546	1738.158
651	-114.4747972	39.51231487	1738.248
652	-114.3572359	39.53186168	1737.962
653	-114.3584367	39.56601004	1737.648
654	-114.4681639	39.59674576	1738.232
655	-114.4800386	39.57673713	1737.608
656	-114.4838372	39.53678239	1737.527
657	-114.3814758	39.50630927	1735.105
658	-114.3690491	39.58535043	1737.804
659	-114.4875932	39.5585365	1737.605
660	-114.4723537	39.59377895	1738.217
661	-114.4882731	39.54790942	1737.639
662	-114.4870818	39.53992365	1737.679
663	-114.3625326	39.57418288	1737.636
664	-114.3952431	39.57763285	1735.105
665	-114.3923481	39.61217246	1739.097
666	-114.3838734	39.6035433	1738.503
667	-114.485757	39.54168956	1737.541
668	-114.4006252	39.49239102	1735.105
669	-114.3701836	39.58769338	1737.89
670	-114.366452	39.58525469	1737.962
671	-114.4447855	39.61515736	1739.223
672	-114.4626301	39.46790417	1735.105
673	-114.4563139	39.49981824	1738.444
674	-114.463394	39.58468733	1735.104
675	-114.4263158	39.61668266	1739.129
676	-114.4679565	39.50723056	1738.279
677	-114.3827405	39.49601795	1739.084
678	-114.3951326	39.49155591	1739.111
679	-114.3589117	39.54486266	1737.486
680	-114.485107	39.56292027	1737.492
681	-114.4172979	39.61985991	1739.541
682	-114.3603495	39.52679715	1737.959
683	-114.3635794	39.58278682	1738.001
684	-114.4165965	39.61902862	1739.437
685	-114.4306554	39.48571705	1739.443
686	-114.4683765	39.5069738	1738.323
687	-114.3653838	39.51954269	1738.023
688	-114.4830477	39.52734548	1737.842
689	-114.4394075	39.48811177	1739.269
690	-114.4030285	39.61639843	1739.3
691	-114.464906	39.50025275	1738.78
692	-114.4293013	39.61953942	1739.513
693	-114.4418096	39.54472472	1735.105
694	-114.3813465	39.60129053	1735.105
695	-114.4683428	39.59808997	1738.359
696	-114.4243364	39.48484649	1739.518
697	-114.4772555	39.51710054	1738.052
698	-114.4632505	39.60448134	1738.71
699	-114.4018406	39.48890502	1739.245
