#state,X,Y,Z
LWA150,-2409258.931201657,-4477897.694308465,3839309.907486584
LWA149,-2409259.5741966236,-4477891.91029412,3839316.3397916537
LWA148,-2409258.0113559384,-4477887.715021367,3839322.0916181407
LWA151,-2409269.317598983,-4477892.410726017,3839309.620627839
LWA172,-2409265.572984811,-4477873.714306203,3839333.482622452
LWA279,-2408780.4411246097,-4477768.049124557,3839760.3164319173
LWA178,-2409268.2240790534,-4477887.814062262,3839315.6771467724
LWA355,-2409410.5220107464,-4478084.272801778,3838997.523189549
LWA287,-2409967.152080393,-4477117.720543269,3839767.1766758515
LWA124,-2409258.814929188,-4477920.627717262,3839283.5927095097
LWA127,-2409266.9927457464,-4477934.523572408,3839262.0988514735
LWA126,-2409256.387811911,-4477934.529189763,3839268.8018860347
LWA125,-2409262.8203437445,-4477930.100869107,3839269.955744604
LWA188,-2409284.786260126,-4477917.811860109,3839270.3852866683
LWA128,-2409273.8491061307,-4477940.744850809,3839250.5843331907
LWA153,-2409265.455214153,-4477903.758666695,3839298.8151929257
LWA181,-2409273.708890312,-4477892.669920307,3839306.7814318403
LWA155,-2409263.5188972824,-4477912.299262806,3839290.2598180734
LWA154,-2409266.886546349,-4477908.8858195925,3839292.181347175
LWA157,-2409270.5081816916,-4477915.36044619,3839282.4558547675
LWA156,-2409270.8512319513,-4477912.034592202,3839286.2273363234
LWA159,-2409281.720670003,-4477929.5900339065,3839258.4523644857
LWA158,-2409273.2880703956,-4477929.950735229,3839263.307348731
LWA182,-2409282.0999746495,-4477898.551875026,3839294.7531508096
LWA160,-2409288.8656451786,-4477934.796754941,3839248.0985790323
LWA185,-2409278.8521115836,-4477905.829202274,3839288.3962285784
LWA184,-2409275.8877882767,-4477902.885802382,3839293.5052774604
LWA187,-2409289.4781927275,-4477908.131170549,3839278.8743690373
LWA186,-2409292.536337122,-4477899.662096139,3839286.86243577
LWA190,-2409287.400143783,-4477921.518099364,3839264.3960243245
LWA189,-2409295.926133867,-4477916.704442818,3839264.7408830673
LWA191,-2409296.3517778227,-4477921.539525079,3839258.8739135694
LWA192,-2409297.264496332,-4477925.180165145,3839254.235857395
LWA224,-2409312.1874764785,-4477913.071841359,3839259.0443535196
LWA222,-2409304.8053430533,-4477906.263127282,3839271.1209965567
LWA326,-2408778.7239659918,-4477640.0671788985,3839910.4227524577
LWA322,-2409572.8260922143,-4477031.2306964705,3840121.58924137
LWA345,-2409326.837597525,-4477958.401069075,3839197.098214943
LWA333,-2408857.016816977,-4477993.079196384,3839450.6602686825
LWA359,-2409354.9619130394,-4478034.96319226,3839089.622141372
LWA347,-2410355.836620511,-4477532.437996331,3839040.7773653734
LWA135,-2409245.0979499286,-4477850.07431109,3839373.764165788
LWA133,-2409238.9291595747,-4477841.5683523,3839388.355594076
LWA137,-2409248.2875225344,-4477851.786232228,3839369.792824959
LWA136,-2409243.4235724877,-4477854.033089288,3839370.0233145687
LWA140,-2409246.7641440625,-4477865.364755334,3839354.631627942
LWA138,-2409243.8252824116,-4477862.472384321,3839359.7812182903
